id,label,type,color,size,degree
http://dbpedia.org/ontology/Factory,factory,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/contractAward,contract award,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/tattoo,tattoo,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/ConveyorSystem/height,height (mm),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/basedOn,based on,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/fileURL,The URL at which this file can be downloaded,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/cylinderCount,cylinder count,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/pandemic,Pandemic,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Embryology,embryology,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/parentOrganisation,parent organisation,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/nationalTournamentGold,national tournament gold,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/vicePrincipalLabel,vice principal label,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Beach,beach,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/frazioni,frazioni,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/previousMission,previous mission,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/dateLastUpdated,Date Last Updated,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/SpaceShuttle/timeInSpace,total time person has spent in space (μ),DatatypeProperty,#BDC3C7,5,2
